index,tvBench_id,db_id,question,source,gold,pred
104,1066,customers_card_transactions,Draw a scatter chart for how many accounts are there for each customer id ?,<N> Draw a scatter chart for how many accounts are there for each customer id ? </N> <C> mark [T] data accounts encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> accounts <COL> customer_id </COL> <VAL> </VAL> </D>,mark point data accounts encoding x customer_id y aggregate count customer_id transform group x,mark point data accounts encoding x count(*) y aggregate none customer_id transform group count(*)
112,11@x_name@ASC,activity_1,"How many faculty members do we have for each rank and gender ? Plot them as bar chart , and list from low to high by the names .","<N> How many faculty members do we have for each rank and gender ? Plot them as bar chart , and list from low to high by the names . </N> <C> mark [T] data faculty encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> faculty <COL> rank lname fname room </COL> <VAL> James Frank Beach Han Mark Rao Pang Rugh Yair </VAL> </D>",mark bar data faculty encoding x rank y aggregate count rank color sex transform group x sort x asc,mark bar data faculty encoding x rank y aggregate count rank transform group x sort x asc
118,2317@x_name@DESC,match_season,"Show the draft pick numbers and draft classes of players whose positions are defenders in a bar chart , and list by the Draft_Class from high to low .","<N> Show the draft pick numbers and draft classes of players whose positions are defenders in a bar chart , and list by the Draft_Class from high to low . </N> <C> mark [T] data match_season encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> match_season <COL> draft_class player position </COL> <VAL> Defender </VAL> </D>","mark bar data match_season encoding x draft_class y aggregate none draft_pick_number transform filter position = ""defender"" sort x desc",mark bar data match_season encoding x position y aggregate count position transform filter points < 30 group x sort x desc
138,79,apartment_rentals,"What are the number of dates of birth of all the guests whose gender is ""Male"" ?","<N> What are the number of dates of birth of all the guests whose gender is ""Male"" ? </N> <C> mark [T] data guests encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> guests <COL> gender_code guest_first_name </COL> <VAL> Male Gabe </VAL> </D>","mark bar data guests encoding x date_of_birth y aggregate count date_of_birth transform filter gender_code = ""male"" bin x by weekday",mark bar data guests encoding x gender_code y aggregate count gender_code transform filter gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code = gender_code
150,1501,gas_company,What is the market value of every comapny in the banking industry ordered by sales and profits ? Return a bar chart .,<N> What is the market value of every comapny in the banking industry ordered by sales and profits ? Return a bar chart . </N> <C> mark [T] data company encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> company <COL> market_value rank company main_industry </COL> <VAL> Banking </VAL> </D>,mark bar data company encoding x company y aggregate none market_value transform filter main_industry = 'banking' sort sales_billion profits_billion,mark bar data company encoding x company y aggregate none market_value transform filter main_industry = 'banking' sort sales_billion
172,157@x_name@ASC,baseball_1,"count yearid for visualizing a line chart , and order X-axis in asc order .","<N> count yearid for visualizing a line chart , and order X-axis in asc order . </N> <C> mark [T] data hall_of_fame encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> hall_of_fame <COL> yearid </COL> <VAL> </VAL> </D>",mark line data hall_of_fame encoding x yearid y aggregate count yearid transform sort x asc bin x by year,mark line data hall_of_fame encoding x yearid y aggregate count yearid transform group x sort x asc
178,1506@x_name@DESC,gas_company,"How many companies that are not headquartered in the United States for each main industry ? Show me a bar chart , and list names from high to low order .","<N> How many companies that are not headquartered in the United States for each main industry ? Show me a bar chart , and list names from high to low order . </N> <C> mark [T] data company encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> company <COL> main_industry rank headquarters </COL> <VAL> </VAL> </D>",mark bar data company encoding x main_industry y aggregate count main_industry transform filter headquarters != 'usa' group x sort x desc,mark bar data company encoding x headquarters y aggregate count headquarters transform filter main_industry = 'banking' group x sort x desc
186,2763,ship_mission,Show the number of fate from each fate,<N> Show the number of fate from each fate </N> <C> mark [T] data mission encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> mission <COL> fate </COL> <VAL> </VAL> </D>,mark bar data mission encoding x fate y aggregate count fate transform group x,mark bar data mission encoding x fate y aggregate count distinct fate transform group fate
192,2999@x_name@ASC,tracking_share_transactions,"What are the dates of transactions with at least 100 share count or amount bigger than 100 , and count them by a line chart , and could you rank by the X from low to high ?","<N> What are the dates of transactions with at least 100 share count or amount bigger than 100 , and count them by a line chart , and could you rank by the X from low to high ? </N> <C> mark [T] data transactions encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> transactions <COL> share_count </COL> <VAL> 930 8040 </VAL> </D>",mark line data transactions encoding x date_of_transaction y aggregate count date_of_transaction transform filter share_count >= 100 or amount_of_transaction >= 100 sort x asc bin x by year,mark line data transactions encoding x date_of_transaction y aggregate count share_count transform filter share_count > 100 or amount_of_transaction > 1000 sort x asc bin x by year
200,2844@y_name@ASC,station_weather,"Find the number of trains starting from each origin Plot them as bar chart , and order in asc by the y-axis .","<N> Find the number of trains starting from each origin Plot them as bar chart , and order in asc by the y-axis . </N> <C> mark [T] data train encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> train <COL> origin id time </COL> <VAL> </VAL> </D>",mark bar data train encoding x origin y aggregate count origin transform group x sort y asc,mark bar data train encoding x time y aggregate count time transform group x sort y asc
212,802,cre_Docs_and_Epenses,"Give the proportion of what are the different budget type codes , and how many documents are there for each ?","<N> Give the proportion of what are the different budget type codes , and how many documents are there for each ? </N> <C> mark [T] data documents_with_expenses encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> documents_with_expenses <COL> </COL> <VAL> </VAL> </D>",mark arc data documents_with_expenses encoding x budget_type_code y aggregate count budget_type_code transform group x,mark arc data documents_with_expenses encoding x product_type_code y aggregate count product_type_code transform group x
214,2494@x_name@ASC,orchestra,"How many orchestras does each record company manage Show bar chart , and could you display by the bars in ascending ?","<N> How many orchestras does each record company manage Show bar chart , and could you display by the bars in ascending ? </N> <C> mark [T] data orchestra encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> orchestra <COL> orchestra record_company </COL> <VAL> </VAL> </D>",mark bar data orchestra encoding x record_company y aggregate count record_company transform group x sort x asc,mark bar data orchestra encoding x record_company y aggregate count record_company transform group x sort year_of_founded asc
222,1463,game_1,What are ids and total number of hours played for each game .,<N> What are ids and total number of hours played for each game . </N> <C> mark [T] data plays_games encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> plays_games <COL> hours_played gameid </COL> <VAL> </VAL> </D>,mark point data plays_games encoding x gameid y aggregate sum hours_played transform group x,mark bar data plays_games encoding x player y aggregate sum hours_played transform group x
234,2066@x_name@DESC,loan_1,"Can you compare the account balances of customers with the letter 'a' in their names using a bar graph , and order by the x axis in desc please .","<N> Can you compare the account balances of customers with the letter 'a' in their names using a bar graph , and order by the x axis in desc please . </N> <C> mark [T] data customer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> customer <COL> cust_name </COL> <VAL> Mary </VAL> </D>",mark bar data customer encoding x cust_name y aggregate none acc_bal transform filter cust_name like '%a%' sort x desc,mark bar data customer encoding x acc_type y aggregate count acc_type transform filter credit_score < 50 group x sort x desc
258,1248@y_name@DESC,e_learning,"What are the dates of the latest logon of the students with family name ""Jaskolski"" or ""Langosh"" , and count them by a bar chart , list in descending by the y-axis .","<N> What are the dates of the latest logon of the students with family name ""Jaskolski"" or ""Langosh"" , and count them by a bar chart , list in descending by the y-axis . </N> <C> mark [T] data students encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> students <COL> family_name personal_name middle_name </COL> <VAL> Cary Asa Ward </VAL> </D>","mark bar data students encoding x date_of_latest_logon y aggregate count date_of_latest_logon transform filter family_name = ""jaskolski"" or family_name = ""langosh"" sort y desc bin x by weekday",mark bar data students encoding x family_name y aggregate count family_name transform filter year_opened > 2000 sort y desc bin x by weekday
262,1248@y_name@DESC,e_learning,"A bar chart for finding the number of the latest logon date of the students whose family name is ""Jaskolski"" or ""Langosh"" , and I want to show y axis in descending order .","<N> A bar chart for finding the number of the latest logon date of the students whose family name is ""Jaskolski"" or ""Langosh"" , and I want to show y axis in descending order . </N> <C> mark [T] data students encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> students <COL> family_name personal_name middle_name </COL> <VAL> Cary Asa Ward </VAL> </D>","mark bar data students encoding x date_of_latest_logon y aggregate count date_of_latest_logon transform filter family_name = ""jaskolski"" or family_name = ""langosh"" sort y desc bin x by weekday",mark bar data students encoding x family_name y aggregate count family_name transform filter first_name not like '%m%' sort y desc bin x by weekday
270,1148,device,"Show me the proportion on what are the different software platforms for devices , and how many devices have each ?","<N> Show me the proportion on what are the different software platforms for devices , and how many devices have each ? </N> <C> mark [T] data device encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> device <COL> device software_platform </COL> <VAL> </VAL> </D>",mark arc data device encoding x software_platform y aggregate count software_platform transform group x,mark bar data device encoding x software_platform y aggregate count software_platform transform group x
272,1248@y_name@DESC,e_learning,"Find the latest logon date of the students whose family name is ""Jaskolski"" or ""Langosh"" , and count them by a bar chart , and could you show from high to low by the Y ?","<N> Find the latest logon date of the students whose family name is ""Jaskolski"" or ""Langosh"" , and count them by a bar chart , and could you show from high to low by the Y ? </N> <C> mark [T] data students encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> students <COL> family_name personal_name middle_name </COL> <VAL> Cary Asa Ward </VAL> </D>","mark bar data students encoding x date_of_latest_logon y aggregate count date_of_latest_logon transform filter family_name = ""jaskolski"" or family_name = ""langosh"" sort y desc bin x by weekday",mark bar data students encoding x family_name y aggregate count family_name transform filter emp_jobcode = 'prof' group x sort y desc
286,79,apartment_rentals,"A bar chart for returning the number of the date of birth for all the guests with gender code ""Male"" .","<N> A bar chart for returning the number of the date of birth for all the guests with gender code ""Male"" . </N> <C> mark [T] data guests encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> guests <COL> gender_code date_of_birth guest_last_name guest_first_name </COL> <VAL> Bode Male Keith Gabe Mante </VAL> </D>","mark bar data guests encoding x date_of_birth y aggregate count date_of_birth transform filter gender_code = ""male"" bin x by weekday",mark bar data guests encoding x date_of_birth y aggregate count date_of_birth transform group x
292,2999@x_name@DESC,tracking_share_transactions,"What are the dates of transactions with at least 100 share count or amount bigger than 100 , and count them by a line chart , and I want to display by the x-axis in desc please .","<N> What are the dates of transactions with at least 100 share count or amount bigger than 100 , and count them by a line chart , and I want to display by the x-axis in desc please . </N> <C> mark [T] data transactions encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> transactions <COL> share_count </COL> <VAL> 930 8040 </VAL> </D>",mark line data transactions encoding x date_of_transaction y aggregate count date_of_transaction transform filter share_count >= 100 or amount_of_transaction >= 100 sort x desc bin x by year,mark line data transactions encoding x date_of_transaction y aggregate count share_count transform filter share_count > 100 or amount_of_transaction > 1000 sort x desc bin x by year
294,2834@y_name@ASC,station_weather,"Give me a bar chart that the x-axis is the services and the Y is the count(services) , and show by the Y-axis in asc .","<N> Give me a bar chart that the x-axis is the services and the Y is the count(services) , and show by the Y-axis in asc . </N> <C> mark [T] data station encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> station <COL> services id </COL> <VAL> c2c </VAL> </D>",mark bar data station encoding x services y aggregate count services transform group x sort y asc,mark bar data station encoding x services y aggregate count services transform group x sort x asc
296,2916@y_name@ASC,swimming,"Show me about the distribution of meter_300 and ID in a bar chart , could you show by the Y-axis in asc ?","<N> Show me about the distribution of meter_300 and ID in a bar chart , could you show by the Y-axis in asc ? </N> <C> mark [T] data swimmer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> swimmer <COL> id meter_300 meter_100 meter_200 meter_400 meter_500 meter_600 meter_700 name time </COL> <VAL> </VAL> </D>",mark bar data swimmer encoding x meter_300 y aggregate none id transform sort y asc,mark bar data swimmer encoding x name y aggregate none id transform sort y asc
300,399,candidate_poll,A scatter showing the correlation between support and consider rates for each candidate .,<N> A scatter showing the correlation between support and consider rates for each candidate . </N> <C> mark [T] data candidate encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> candidate <COL> date consider_rate </COL> <VAL> </VAL> </D>,mark point data candidate encoding x support_rate y aggregate none consider_rate,mark point data candidate encoding x support_rate y aggregate none oppose_rate
312,2066@x_name@DESC,loan_1,"Find the name and account balance of the customer whose name includes the letter ‘a’ Visualize them using a bar chart , and I want to sort bars from high to low order .","<N> Find the name and account balance of the customer whose name includes the letter ‘a’ Visualize them using a bar chart , and I want to sort bars from high to low order . </N> <C> mark [T] data customer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> customer <COL> cust_name </COL> <VAL> Mary </VAL> </D>",mark bar data customer encoding x cust_name y aggregate none acc_bal transform filter cust_name like '%a%' sort x desc,mark bar data customer encoding x acc_type y aggregate count acc_type transform filter credit_score < 50 group x sort x desc
320,314,bike_1,Give me the number of the dates when the max temperature was higher than 85 .,<N> Give me the number of the dates when the max temperature was higher than 85 . </N> <C> mark [T] data weather encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> weather <COL> date precipitation_inches </COL> <VAL> 0.85 1.85 </VAL> </D>,mark bar data weather encoding x date y aggregate count date transform filter max_temperature_f > 85 bin x by year,mark line data weather encoding x date y aggregate count date transform filter max_temperature_f > 85 group x
328,2844@x_name@DESC,station_weather,"Find the number of trains starting from each origin Plot them as bar chart , order bars from high to low order .","<N> Find the number of trains starting from each origin Plot them as bar chart , order bars from high to low order . </N> <C> mark [T] data train encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> train <COL> origin id time </COL> <VAL> </VAL> </D>",mark bar data train encoding x origin y aggregate count origin transform group x sort x desc,mark bar data train encoding x time y aggregate count time transform group x sort x desc
330,2916@x_name@ASC,swimming,"Find meter_300 and ID , and visualize them by a bar chart , and show bar in asc order .","<N> Find meter_300 and ID , and visualize them by a bar chart , and show bar in asc order . </N> <C> mark [T] data swimmer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> swimmer <COL> id meter_300 meter_100 meter_200 meter_400 meter_500 meter_600 meter_700 </COL> <VAL> </VAL> </D>",mark bar data swimmer encoding x meter_300 y aggregate none id transform sort x asc,mark bar data swimmer encoding x meter_600 y aggregate none id transform sort x asc
332,405@y_name@ASC,candidate_poll,"What is the averag weights for people of each sex ? Show a bar chart , I want to rank by the y axis from low to high .","<N> What is the averag weights for people of each sex ? Show a bar chart , I want to rank by the y axis from low to high . </N> <C> mark [T] data people encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> people <COL> sex weight height </COL> <VAL> </VAL> </D>",mark bar data people encoding x sex y aggregate mean weight transform group x sort y asc,mark bar data people encoding x sex y aggregate none weight transform group x sort y asc
334,1248@y_name@ASC,e_learning,"A bar chart for what are the number of the dates of the latest logon of the students with family name ""Jaskolski"" or ""Langosh"" ? , and order total number in asc order .","<N> A bar chart for what are the number of the dates of the latest logon of the students with family name ""Jaskolski"" or ""Langosh"" ? , and order total number in asc order . </N> <C> mark [T] data students encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> students <COL> family_name personal_name middle_name </COL> <VAL> Cary Asa Ward </VAL> </D>","mark bar data students encoding x date_of_latest_logon y aggregate count date_of_latest_logon transform filter family_name = ""jaskolski"" or family_name = ""langosh"" sort y asc bin x by weekday",mark bar data students encoding x family_name y aggregate count family_name transform filter emp_jobcode = 'prof' group x sort y asc
346,2949@y_name@DESC,theme_gallery,"Find those themes and years for all exhibitions with ticket prices lower than 15 , group by themes , count year , and the x-axis is Year , show y-axis in descending order .","<N> Find those themes and years for all exhibitions with ticket prices lower than 15 , group by themes , count year , and the x-axis is Year , show y-axis in descending order . </N> <C> mark [T] data exhibition encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> exhibition <COL> year theme ticket_price </COL> <VAL> </VAL> </D>",mark bar data exhibition encoding x year y aggregate count year transform filter ticket_price < 15 group theme sort y desc,mark bar data exhibition encoding x year y aggregate count year transform filter ticket_price < 15 group x sort x desc
354,2681@x_name@DESC,riding_club,"Show different occupations along with the number of players in each occupation with a bar chart , could you order by the names from high to low ?","<N> Show different occupations along with the number of players in each occupation with a bar chart , could you order by the names from high to low ? </N> <C> mark [T] data player encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> player <COL> occupation rank </COL> <VAL> 4th </VAL> </D>",mark bar data player encoding x occupation y aggregate count occupation transform group x sort x desc,mark bar data player encoding x residence y aggregate count occupation transform group x sort x desc
356,79@y_name@ASC,apartment_rentals,"Return the number of the date of birth for all the guests with gender code ""Male"" , sort Y in ascending order please .","<N> Return the number of the date of birth for all the guests with gender code ""Male"" , sort Y in ascending order please . </N> <C> mark [T] data guests encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> guests <COL> gender_code date_of_birth guest_last_name guest_first_name </COL> <VAL> Bode Male Keith Gabe Toy Mante </VAL> </D>","mark bar data guests encoding x date_of_birth y aggregate count date_of_birth transform filter gender_code = ""male"" sort y asc bin x by weekday",mark bar data guests encoding x gender_code y aggregate count gender_code transform group x sort y asc
360,157@x_name@DESC,baseball_1,"count yearid for visualizing a line chart , and could you show x-axis in desc order ?","<N> count yearid for visualizing a line chart , and could you show x-axis in desc order ? </N> <C> mark [T] data hall_of_fame encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> hall_of_fame <COL> yearid </COL> <VAL> </VAL> </D>",mark line data hall_of_fame encoding x yearid y aggregate count yearid transform sort x desc bin x by year,mark line data hall_of_fame encoding x yearid y aggregate count yearid transform group x sort x desc
368,1506@x_name@ASC,gas_company,"Show the number of companies whose headquarters are not from USA fpr each main industry in a bar chart , show X-axis in ascending order please .","<N> Show the number of companies whose headquarters are not from USA fpr each main industry in a bar chart , show X-axis in ascending order please . </N> <C> mark [T] data company encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> company <COL> headquarters main_industry </COL> <VAL> </VAL> </D>",mark bar data company encoding x main_industry y aggregate count main_industry transform filter headquarters != 'usa' group x sort x asc,mark bar data company encoding x headquarters y aggregate count headquarters transform filter main_industry = 'banking' group x sort x asc
370,2494,orchestra,How many orchestras does each record company manage . Show bar chart .,<N> How many orchestras does each record company manage . Show bar chart . </N> <C> mark [T] data orchestra encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> orchestra <COL> orchestra record_company </COL> <VAL> </VAL> </D>,mark bar data orchestra encoding x record_company y aggregate count record_company transform group x,mark bar data orchestra encoding x record_company y aggregate count record_company transform group x sort year_of_founded
372,2017@y_name@DESC,insurance_policies,"Bin the claim date into Year interval and count them for visualizing a bar chart , and could you order by the the number of date claim settled from high to low ?","<N> Bin the claim date into Year interval and count them for visualizing a bar chart , and could you order by the the number of date claim settled from high to low ? </N> <C> mark [T] data settlements encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> settlements <COL> date_claim_settled </COL> <VAL> </VAL> </D>",mark bar data settlements encoding x date_claim_settled y aggregate count date_claim_settled transform sort y desc bin x by year,mark bar data settlements encoding x date_claim_made y aggregate count date_claim_settled transform sort y desc bin x by year
374,11@x_name@ASC,activity_1,"Show all the ranks and the number of male and female faculty for each rank in a bar chart , and I want to rank X in asc order please .","<N> Show all the ranks and the number of male and female faculty for each rank in a bar chart , and I want to rank X in asc order please . </N> <C> mark [T] data faculty encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> faculty <COL> rank sex lname fname </COL> <VAL> Hall Frank Beach Mark Rao Pang Paul Fill Han Yair </VAL> </D>",mark bar data faculty encoding x rank y aggregate count rank color sex transform group x sort x asc,mark bar data faculty encoding x rank y aggregate count rank transform group x sort x asc
